"ID","condition","Random_BIC","Bayes_Tr_BIC","Bayes_No_Tr_BIC","theta_transfer","theta_no_transfer","QL_BIC","QL_Beta","QL_alpha","QL_states_BIC","QL_states_Beta","QL_states_alpha","EWA_BIC","EWA_2LL","EWA_Phi","EWA_Delta","EWA_Rho","EWA_Lambda","EWA_self_2LL","EWA_self_BIC","EWA_self_Lambda","EWA_states_BIC","EWA_states_Lambda"
"38VxtUSv_h6RR5-tAAA2","Level2",380.666248977032,382.024744683974,384.424117645059,0.105198346817251,0.0886398348145065,385.506880246424,3.11728963507141,0.908277301410048,387.816077219115,4.07552262134365,0.902222993199307,390.487214635849,370.444673459464,0.0999021222810159,0.0100000004982844,0.0100008362710688,0.723764212908966,380.200872332502,385.211507626598,0.316099201007132,385.032103817023,0.159391744740698
"oXdDF_U-Dft2ja2lAAAs","Level1",380.666248977032,340.710562510439,270.263125951849,0.369251852492458,0.586441437618973,387.487596594134,2.68640914501792,0.656306058258767,170.25547649478,0.0886365255728681,0.135831289167166,396.349630406001,376.307089229616,1.07659381321166,0.0350389210745043,0.999999976377617,0.67825144497222,380.666248977032,385.676884271128,2.35369841707774e-16,246.82404733148,3.14862984590197
"4HDD95eEc5uc6WGZAAB-","Level1",380.666248977032,380.663821633339,380.233910404945,0.125208006405465,0.140319270867012,390.687519565225,5.42838960620409,0,351.905675298784,0.816964874890977,0.648135096352625,400.585585499287,380.543044322902,0.97575551103081,0.999999999960773,0.999999999987548,0.242526348861954,380.666248977032,385.676884271128,5.81304196064487e-15,360.161297563628,1.43976186073669
"QSuzBXpbyRc370HsAACW","Level2",380.666248977032,354.420428976524,352.455001150868,0.295733570078547,0.311738876961038,389.927743282838,0.0238578485626632,0.00171304870931922,362.466563467871,0.466482592121144,0.237387237162286,398.948251623163,378.905710446778,1.0575544257566,0.0100008240875881,0.0136495960168098,0.0225897975383374,380.666248977032,385.676884271128,6.1640474557087e-16,347.603937241853,1.65384440786985
"9M_yMJbCXl54gNUJAAAg","Level2",380.666248977032,341.867359150967,341.13303822021,0.350083018034034,0.35607745065022,390.161033990721,1.48000236611292,0.0858179156673936,314.174416120407,0.301527873362112,0.250236020538502,398.08668490546,378.044143729075,1.06786939526437,0.999999201304473,0.999999528080892,0.841104968773926,380.666248977032,385.676884271128,2.1050295925424e-16,345.092084966524,1.66241130080895
"SqFSft5pBSQvCRguAAB4","Level2",380.666248977032,163.362527980964,163.315342779169,0.826462900085838,0.826325956164172,390.687519565225,6.02431404143521,0,172.136002656414,0.287938101457318,0.498922391458153,400.720495393076,380.677954216691,0.0100000014641061,0.999999984624124,0.999999999258597,0.0100000006680507,380.666248977032,385.676884271128,2.5870422013107e-16,167.042077171949,5.6527962083669
"OMboMzdFXCbIT4xIAABY","Level1",380.666248977032,283.852347401247,271.130231425935,0.586411992549135,0.619849733369715,390.687519565225,7.84185087115452,0,244.229760670392,0.299940668911194,0.314490476761848,399.872318494076,379.829777317691,0.0100000009866179,0.999999999233778,0.999999999697439,0.888062523893228,380.666248977032,385.676884271128,2.48200916126556e-16,238.825571569703,3.7452687804846
"FeAZRu_9Hrcdjm_iAABo","Level1",380.666248977032,337.697495889405,343.197714088289,0.392304097420984,0.38531657885671,390.687519565225,2.88721103907596,0,315.510680342157,0.0571320858113147,0.0252829330802737,399.570846798649,379.528305622264,1.02805888581018,0.999999997451436,0.999999998575309,0.503103490483678,380.666248977032,385.676884271128,1.45243281899236e-15,349.571450504054,1.55896121093004
"h_7YPIjrawfjJTC9AACI","Level1",380.666248977032,385.524070612215,385.676884271155,0.0384442147586589,1.30111996219288e-12,390.285106653011,4.73157036662815,0.326893392662089,373.230566217655,1.40031448131536,0.964961501913264,399.568425687514,379.525884511129,0.665827454814036,0.999999999981254,0.010000001301238,0.0979512689176015,380.127643576073,385.13827887017,0.249952845153411,376.644945128521,0.746754368839437
"7QnidGGKs1c6kKJoAAAI","Level2",380.666248977032,336.017075424124,333.494500358392,0.391502843562219,0.402875093013353,374.420072470763,0.00445698204917848,0.00240291072404276,252.081842288031,0.306005924673939,0.618325085097268,347.399380955846,327.356839779461,1.06910118343954,0.0100070175214932,0.999995268288394,5.82582868724538,380.666248977032,385.676884271128,2.42533574715583e-16,373.38686990202,0.756711274293984
"Awf0J1oiQuRs5911AAAS","Level2",380.666248977032,177.397747886116,178.353947875204,0.781860042652114,0.782506713973265,390.687519565225,8.33219232159855,0,148.807238970388,0.107799007476073,0.125854764026757,400.727486756511,380.684945580126,0.0100000075416555,0.999999947698716,0.999999950355291,0.0100000001389441,380.666248977032,385.676884271128,6.34750543051155e-16,164.716892495009,4.45143999013028
"O5H_fl6X-WZWz26DAABu","Level2",380.666248977032,385.676884271133,385.676884271133,8.18195762874469e-13,8.75427308344994e-13,390.687519565225,6.85971273758901,0,389.630281641957,6.16595804640288,0.934864050973347,397.32457955072,377.282038374335,0.0100000049447093,0.999999999996522,0.796300686562244,0.860722571088524,380.666248977032,385.676884271128,2.16016816568143e-16,385.676884271128,6.36713855609981e-16
"2NHwNgPzjWxDBriwAAAU","Level2",380.666248977032,385.133413235427,384.747679731317,0.0495737653436323,0.070125691465261,362.720467764588,1.36822562100577,0.99,371.630789846469,0.0677969075547468,0.0246518282819918,383.988504569677,363.945963393292,0.20594044753504,0.0100000000018467,0.969095222760439,9.99999999991044,380.666248977032,385.676884271128,3.02344018381644e-16,385.676884271128,2.00037151566981e-16
"2ZmOL0OjH5Uwt3DCAACm","Level1",380.666248977032,384.147420291638,385.563024769624,0.0673948336305493,0.0462335718990048,390.687519565225,7.9059216948517,0,381.871636705246,2.16616068121391,0.893669301211355,400.075128525772,380.032587349387,1.14566470639787,0.999999964905202,0.95259847654152,0.0100001185317248,380.666248977032,385.676884271128,1.25305267419657e-15,380.824886037178,0.637144520813334
